id,shown_stimulus,mental_complexity,distraction,pressed_key,correct_key_pressed,reaction_time_in_microseconds,timestamp
6,O,A,no,74,true,625066,1496143371
6,R,P,no,74,true,620646,1496143373
6,R,P,yes,74,true,555997,1496143374
6,O,A,yes,74,true,580038,1496143375
6,O,A,yes,74,true,605502,1496143376
6,R,P,no,74,true,422809,1496143376
6,R,P,yes,74,true,429094,1496143377
6,B,P,no,70,true,405497,1496143378
6,E,A,no,70,true,484565,1496143378
6,B,P,no,70,true,361023,1496143379
6,O,A,no,74,true,556425,1496143380
6,R,P,no,74,true,412648,1496143380
6,R,P,yes,74,true,473340,1496143381
6,O,A,no,74,true,540269,1496143382
6,E,A,yes,70,true,405244,1496143383
6,O,A,yes,74,true,628174,1496143383
6,O,A,yes,74,true,531247,1496143384
6,R,P,no,74,true,536600,1496143385
6,E,A,no,70,true,488524,1496143386
6,O,A,no,74,true,538396,1496143386
6,B,P,yes,70,true,433807,1496143387
6,B,P,yes,70,true,404579,1496143388
6,E,A,no,70,true,493141,1496143388
6,B,P,no,70,true,440525,1496143389
6,B,P,yes,70,true,434331,1496143390
6,O,A,yes,74,true,552469,1496143391
6,B,P,yes,70,true,445602,1496143391
6,E,A,yes,70,true,849520,1496143393
6,E,A,yes,70,true,765295,1496143395
6,E,A,no,70,true,1308562,1496143396
6,R,P,no,74,true,560304,1496143397
6,B,P,no,70,true,552925,1496143398
6,R,P,yes,74,true,500514,1496143399
6,B,P,no,70,true,460673,1496143399
6,O,A,no,74,true,585409,1496143400
6,R,P,yes,74,true,1304527,1496143402
6,B,P,yes,70,true,510001,1496143403
6,E,A,yes,70,true,563239,1496143404
6,E,A,yes,70,true,539249,1496143405
6,E,A,no,70,true,568828,1496143406
