timestamp,id,num_task,target_distance,target_size,bubble_pointer,reaction_time,number_of_errors,start_x,start_y,click_x,click_y
2017-06-13T19:02:25,3,0,200,16,True,1516,0,400,400,208,407
2017-06-13T19:02:27,3,1,275,16,True,2546,0,400,400,635,542
2017-06-13T19:02:29,3,2,125,16,True,1138,0,400,400,306,457
2017-06-13T19:02:31,3,3,275,32,True,1360,0,400,400,656,298
2017-06-13T19:02:32,3,4,200,32,True,1315,0,400,400,538,523
2017-06-13T19:02:34,3,5,350,16,True,1459,0,400,400,60,470
2017-06-13T19:02:35,3,6,200,32,True,1161,0,400,400,405,562
2017-06-13T19:02:37,3,7,125,16,True,1127,0,400,400,445,322
2017-06-13T19:02:38,3,8,200,16,True,1230,0,400,400,509,514
2017-06-13T19:02:40,3,9,350,16,True,1312,0,400,400,195,623
2017-06-13T19:02:41,3,10,275,16,True,1264,0,400,400,486,142
2017-06-13T19:02:43,3,11,125,32,True,1302,0,400,400,316,391
2017-06-13T19:02:44,3,12,350,32,True,1290,0,400,400,357,738
2017-06-13T19:02:46,3,13,125,32,True,1194,0,400,400,493,437
2017-06-13T19:02:47,3,14,275,32,True,1411,0,400,400,543,621
2017-06-13T19:02:49,3,15,350,32,True,1311,0,400,400,635,135
